ssrcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
edge-17	edge-12	IpWildcardIpSpace{ipWildcard=90.0.48.0/24}	unsat	4171	130273	1024.0	1024.0	1024.0	1.023	1.023	1.023	127.0	Ethernet0	2873.0	5876.0
edge-19	edge-5	IpWildcardIpSpace{ipWildcard=90.0.20.0/24}	unsat	29103	335255	5894.0	5894.0	5894.0	5.893	5.893	5.893	104.0	Ethernet0	2873.0	5876.0
edge-30	edge-8	IpWildcardIpSpace{ipWildcard=90.0.32.0/24}	unsat	5505	147211	1251.0	1251.0	1251.0	1.25	1.25	1.25	116.0	Ethernet0	2873.0	5876.0
edge-25	edge-28	IpWildcardIpSpace{ipWildcard=90.0.112.0/24}	unsat	4518	169260	1103.0	1103.0	1103.0	1.103	1.103	1.103	193.0	Ethernet0	2873.0	5876.0
edge-8	edge-21	IpWildcardIpSpace{ipWildcard=90.0.84.0/24}	unsat	6637	220797	1454.0	1454.0	1454.0	1.453	1.453	1.453	105.0	Ethernet0	2873.0	5876.0
edge-9	edge-15	IpWildcardIpSpace{ipWildcard=90.0.60.0/24}	unsat	5236	159664	1357.0	1357.0	1357.0	1.356	1.356	1.356	284.0	Ethernet0	2873.0	5876.0
edge-5	edge-23	IpWildcardIpSpace{ipWildcard=90.0.92.0/24}	unsat	4245	149534	1044.0	1044.0	1044.0	1.042	1.042	1.042	105.0	Ethernet0	2873.0	5876.0
edge-10	edge-29	IpWildcardIpSpace{ipWildcard=90.0.116.0/24}	unsat	4208	172159	1116.0	1116.0	1116.0	1.114	1.114	1.114	324.0	Ethernet0	2873.0	5876.0
edge-14	edge-19	IpWildcardIpSpace{ipWildcard=90.0.76.0/24}	unsat	3714	123460	957.0	957.0	957.0	0.956	0.956	0.956	130.0	Ethernet0	2873.0	5876.0
edge-31	edge-10	IpWildcardIpSpace{ipWildcard=90.0.40.0/24}	unsat	10224	236938	2056.0	2056.0	2056.0	2.055	2.055	2.055	116.0	Ethernet0	2873.0	5876.0
edge-18	edge-16	IpWildcardIpSpace{ipWildcard=90.0.64.0/24}	unsat	5141	165218	1283.0	1283.0	1283.0	1.235	1.235	1.235	133.0	Ethernet0	2873.0	5876.0
edge-4	edge-19	IpWildcardIpSpace{ipWildcard=90.0.76.0/24}	unsat	3856	136001	1024.0	1024.0	1024.0	1.024	1.024	1.024	129.0	Ethernet0	2873.0	5876.0
edge-20	edge-23	IpWildcardIpSpace{ipWildcard=90.0.92.0/24}	unsat	10824	258463	2192.0	2192.0	2192.0	2.19	2.19	2.19	123.0	Ethernet0	2873.0	5876.0
edge-17	edge-11	IpWildcardIpSpace{ipWildcard=90.0.44.0/24}	unsat	6960	210911	1616.0	1616.0	1616.0	1.615	1.615	1.615	120.0	Ethernet0	2873.0	5876.0
